target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Saturn,planet,rv2_coarse,6,3.93,882,3766,1365356.8905187075,1661194.6831186935,295837.7925999861,1.8275957542268413,0.06761024348071687,7
Saturn,planet,rv2_coarse,7,4.7,925,3807,2916012.53241818,2120624.745173365,-795387.7872448149,-0.2740249584664564,0.7840654414224857,7
Saturn,planet,rv2_coarse,8,6.55,860,3676,2956861.67877907,193845272.44801053,190888410.76923147,1.0203953895533315,0.3075409795650481,7
Saturn,planet,rv2_coarse,9,9.18,954,4156,569008956.7985128,279307232.62889874,-289701724.1696141,-0.7172574111958824,0.47321528060436835,7
Uranus,planet,rv2_coarse,1,0.45,141,4953,881635266.39539,1961254861.3240335,1079619594.9286435,1.1190904059707059,0.26310157238588894,7
Uranus,planet,rv2_coarse,2,0.7,99,4614,13003168.929292928,309050370.1428357,296047201.21354276,1.2747908436008326,0.20238328245658965,7
Uranus,planet,rv2_coarse,3,0.9,86,4641,3761233.207122093,10550338.792730553,6789105.58560846,0.889230866279349,0.37387901746360797,7
Uranus,planet,rv2_coarse,4,1.31,88,4583,3057378.6136363638,2077490.8493890464,-979887.7642473173,-1.291331471833541,0.19658876202134934,7
Uranus,planet,rv2_coarse,5,2.2,76,4781,5871282.91118421,2676994.329951893,-3194288.5812323173,-4.6506611037269225,3.3087265824960355e-06,7
Uranus,planet,rv2_coarse,6,3.93,110,4538,1211472.727840909,1614597.1692375496,403124.4413966406,1.052481891067949,0.2925785145923514,7
Uranus,planet,rv2_coarse,7,4.7,83,4649,486006.8832831325,2308064.4065496484,1822057.523266516,1.4220964709215573,0.15499824715716803,7
Uranus,planet,rv2_coarse,8,6.55,71,4465,847965.2482394367,160147349.83874843,159299384.590509,1.0342858187534756,0.3010025645040981,7
Uranus,planet,rv2_coarse,9,9.18,99,5011,12228684.381313132,339737530.20110446,327508845.8197913,2.4514158360544807,0.01422954591976322,7
Neptune,planet,rv2_coarse,1,0.45,1261,3833,2931130480.865236,1602465526.8271916,-1328664954.0380442,-1.0700076057368382,0.2846158852325278,7
Neptune,planet,rv2_coarse,2,0.7,1184,3529,260777885.94679055,316940976.0844556,56163090.13766506,0.14608548965589271,0.8838539011030444,7
Neptune,planet,rv2_coarse,3,0.9,1208,3519,2214769.8133278145,13245850.087631429,11031080.274303615,1.1064938845917678,0.26851280949940115,7
Neptune,planet,rv2_coarse,4,1.31,1257,3414,2569042.9517700877,1921764.174099297,-647278.7776707907,-0.9119146478566257,0.36181365004923416,7
Neptune,planet,rv2_coarse,5,2.2,1260,3597,3172129.9453869048,2571043.5533951903,-601086.3919917145,-0.7735718807035228,0.4391840060695307,7
Neptune,planet,rv2_coarse,6,3.93,1201,3447,1965350.9836074105,1479523.476283725,-485827.50732368557,-1.7668973698028396,0.07724541760040182,7
Neptune,planet,rv2_coarse,7,4.7,1230,3502,402407.50970528455,2934200.102919565,2531792.5932142804,1.4891606111956481,0.13644508023886592,7
Neptune,planet,rv2_coarse,8,6.55,1162,3374,18048380.423888635,205733818.7641014,187685438.34021276,0.9197126614439541,0.3577229343323385,7
Neptune,planet,rv2_coarse,9,9.18,1281,3829,235746572.16392833,366060079.5637222,130313507.39979386,0.4672772021398884,0.6403015651103126,7
Earth,earth,rv2_coarse,1,0.45,836,4258,389088406.9481908,2234177546.381165,1845089139.4329743,3.21756708436991,0.0012928278992909714,7
Earth,earth,rv2_coarse,2,0.7,759,3954,14328833.22002635,358211971.96485686,343883138.7448305,1.26883610153544,0.2044995261896223,7
Earth,earth,rv2_coarse,3,0.9,724,4003,3382266.981526243,11700931.076255308,8318664.094729066,0.9411723552391329,0.346616541110339,7
Earth,earth,rv2_coarse,4,1.31,713,3958,1810632.0824859748,2147349.470929131,336717.38844315615,1.361470146917886,0.1733651614636642,7
