frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
4,1.31,153,-2.3045280839064737,-0.18631005308134643,Random-268,rv2_coarse,random
5,2.2,157,-0.7899585328359011,-0.06304555443296181,Random-268,rv2_coarse,random
6,3.93,154,0.13913053287709048,0.011211457838944769,Random-268,rv2_coarse,random
7,4.7,154,0.5747038511017852,0.04631095607316415,Random-268,rv2_coarse,random
8,6.55,154,4.046177336226763,0.3260502614050568,Random-268,rv2_coarse,random
9,9.18,150,2.812739287714995,0.22965920114603808,Random-268,rv2_coarse,random
1,0.45,126,2.7869562651966375,0.24828179753068844,Random-269,rv2_coarse,random
2,0.7,127,-2.8487862555606807,-0.25278890278069266,Random-269,rv2_coarse,random
3,0.9,123,-3.856662229689038,-0.34774352236794,Random-269,rv2_coarse,random
4,1.31,124,-0.5799859276785181,-0.052084273855989724,Random-269,rv2_coarse,random
5,2.2,129,7.291028541619671,0.6419392687515031,Random-269,rv2_coarse,random
6,3.93,127,1.470678319312664,0.13050159798992422,Random-269,rv2_coarse,random
7,4.7,128,3.402599245032599,0.30075012497784726,Random-269,rv2_coarse,random
8,6.55,127,-2.6548288254863808,-0.23557796396808756,Random-269,rv2_coarse,random
9,9.18,128,2.516554139892546,0.2224340621926374,Random-269,rv2_coarse,random
1,0.45,143,3.050800911696263,0.2551207886528348,Random-270,rv2_coarse,random
2,0.7,146,-0.7773464320342823,-0.06433364846356124,Random-270,rv2_coarse,random
3,0.9,144,-1.1766606535133126,-0.09805505445944272,Random-270,rv2_coarse,random
4,1.31,142,-2.430896185979718,-0.20399627632287004,Random-270,rv2_coarse,random
5,2.2,146,-3.8336830394802393,-0.317277865850887,Random-270,rv2_coarse,random
6,3.93,146,-1.8454916525220626,-0.1527339758993774,Random-270,rv2_coarse,random
7,4.7,146,-2.3246137766200414,-0.1923864050256936,Random-270,rv2_coarse,random
8,6.55,147,2.3466792006813852,0.19355083831644196,Random-270,rv2_coarse,random
9,9.18,144,3.0732752983800253,0.2561062748650021,Random-270,rv2_coarse,random
1,0.45,140,-1.2937422469541877,-0.10934117645353629,Random-271,rv2_coarse,random
2,0.7,146,-4.4016963941873275,-0.3642869855669242,Random-271,rv2_coarse,random
3,0.9,144,-0.21844679907559636,-0.018203899922966362,Random-271,rv2_coarse,random
4,1.31,142,1.0458891767717013,0.08776906999910822,Random-271,rv2_coarse,random
5,2.2,146,2.5729672256246574,0.21294028271078638,Random-271,rv2_coarse,random
6,3.93,144,4.097718467453899,0.3414765389544916,Random-271,rv2_coarse,random
7,4.7,143,2.59279431845577,0.21682035324004179,Random-271,rv2_coarse,random
8,6.55,145,-0.27636195557221926,-0.022950611213812915,Random-271,rv2_coarse,random
9,9.18,141,-1.2505817057708986,-0.10531797859656063,Random-271,rv2_coarse,random
1,0.45,146,2.69013189938081,0.2226369001044631,Random-272,rv2_coarse,random
2,0.7,152,6.862243806788908,0.5566014712415353,Random-272,rv2_coarse,random
3,0.9,153,6.404942618071373,0.5178089203985957,Random-272,rv2_coarse,random
4,1.31,152,9.335122820884665,0.7571784452170615,Random-272,rv2_coarse,random
5,2.2,153,7.903829326498122,0.6389867286275736,Random-272,rv2_coarse,random
6,3.93,154,0.24932902242954627,0.02009150518717275,Random-272,rv2_coarse,random
7,4.7,153,-0.12557625249101792,-0.010152238295876465,Random-272,rv2_coarse,random
8,6.55,154,-1.754627268928481,-0.14139189466077065,Random-272,rv2_coarse,random
9,9.18,145,-1.9380529429177433,-0.16094653662655692,Random-272,rv2_coarse,random
1,0.45,135,2.543642649969502,0.21892190271188405,Random-273,rv2_coarse,random
2,0.7,134,-1.0561992673636122,-0.09124171981975898,Random-273,rv2_coarse,random
3,0.9,132,1.4428109768954025,0.1255805764225511,Random-273,rv2_coarse,random
4,1.31,134,1.1090092692889835,0.09580380914158089,Random-273,rv2_coarse,random
5,2.2,138,0.34399145074067855,0.029282496896817896,Random-273,rv2_coarse,random
6,3.93,138,0.2404683364880093,0.02047002418761102,Random-273,rv2_coarse,random
7,4.7,137,-1.2898482769223998,-0.11019917526814216,Random-273,rv2_coarse,random
8,6.55,133,3.2415898765283715,0.28108148990462123,Random-273,rv2_coarse,random
9,9.18,131,-1.9685716877289585,-0.17199490693968572,Random-273,rv2_coarse,random
1,0.45,135,-3.0824178241358346,-0.2652922866429109,Random-274,rv2_coarse,random
2,0.7,135,2.80809594585389,0.24168241850765956,Random-274,rv2_coarse,random
3,0.9,138,-1.9153158576113218,-0.1630425132257431,Random-274,rv2_coarse,random
4,1.31,136,3.1510921420006035,0.27020392200339055,Random-274,rv2_coarse,random
5,2.2,139,-0.34932713639708124,-0.029629540992880954,Random-274,rv2_coarse,random
6,3.93,138,3.2465321378221548,0.27636316846392706,Random-274,rv2_coarse,random
7,4.7,136,3.135190250962924,0.26884034609636437,Random-274,rv2_coarse,random
8,6.55,136,1.2178453395114843,0.10442937632430895,Random-274,rv2_coarse,random
9,9.18,132,-1.8338027214869808,-0.1596120396208165,Random-274,rv2_coarse,random
1,0.45,150,4.799878405862695,0.39190843072557147,Random-275,rv2_coarse,random
2,0.7,153,-10.659088140030907,-0.8617362014532532,Random-275,rv2_coarse,random
3,0.9,150,-7.904936063282947,-0.6454353268122804,Random-275,rv2_coarse,random
4,1.31,154,-3.6185513291224667,-0.29159117575114457,Random-275,rv2_coarse,random
5,2.2,152,-1.1155202461392355,-0.09048063981442239,Random-275,rv2_coarse,random
6,3.93,156,-1.857404972691548,-0.14871141457274292,Random-275,rv2_coarse,random
7,4.7,153,-0.07301643289292695,-0.005903028729869832,Random-275,rv2_coarse,random
8,6.55,153,-2.3735885150691147,-0.19189325802711638,Random-275,rv2_coarse,random
9,9.18,152,3.2696139994154487,0.2652007147671051,Random-275,rv2_coarse,random
1,0.45,158,0.3354485221349393,0.026686851525043458,Random-276,rv2_coarse,random
2,0.7,157,6.117359418837216,0.4882184319748457,Random-276,rv2_coarse,random
3,0.9,155,3.4258147066123255,0.2751680589589463,Random-276,rv2_coarse,random
4,1.31,158,0.776522232107339,0.06177679180773905,Random-276,rv2_coarse,random
5,2.2,162,-3.5490972301416,-0.2788434131692798,Random-276,rv2_coarse,random
6,3.93,164,-0.3921140558470022,-0.030618963595512652,Random-276,rv2_coarse,random
7,4.7,159,-0.06346514805168124,-0.005033113630022259,Random-276,rv2_coarse,random
8,6.55,156,0.5587841732921309,0.0447385390223854,Random-276,rv2_coarse,random
9,9.18,157,-2.124178803604252,-0.16952792434206787,Random-276,rv2_coarse,random
1,0.45,140,-7.326886193600764,-0.6192349040433311,Random-277,rv2_coarse,random
2,0.7,138,-2.0084427773801155,-0.17097000309000626,Random-277,rv2_coarse,random
3,0.9,139,0.9452908361387148,0.08017852225407812,Random-277,rv2_coarse,random
4,1.31,136,4.05685402622406,0.3478723628135583,Random-277,rv2_coarse,random
5,2.2,138,-1.1065444802253646,-0.09419532153668864,Random-277,rv2_coarse,random
6,3.93,141,0.7606178517940914,0.06405557850858827,Random-277,rv2_coarse,random
