target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-202,random,rv2_coarse,791485,4300665,398387651.39930093,523941519.5990848,125553868.19978386,5.0790733068227825,3.792803513480436e-07
Random-203,random,rv2_coarse,1114815,3977335,548392956.0985502,492102906.16741335,-56290049.93113685,-2.2797939219751275,0.0226199136653924
Random-204,random,rv2_coarse,1972,5090178,335755973.4875206,504491727.9660273,168735754.47850674,0.5271897120013859,0.5980618522949865
Random-205,random,rv2_coarse,955,5091195,802908956.7332952,504370393.9056929,-298538562.8276023,-0.44808176442147646,0.6540941881639277
Random-206,random,rv2_coarse,823154,4268996,425192748.1790287,519704327.25161004,94511579.07258135,3.749272515008584,0.00017734828689852655
Random-207,random,rv2_coarse,1225869,3866281,640042705.2018536,461426961.63866097,-178615743.56319267,-6.9062924744712,4.9749093733453265e-12
Random-208,random,rv2_coarse,835602,4256548,505493073.1015227,504216981.1745565,-1276091.9269661903,-0.0484389240012289,0.9613664388310843
Random-209,random,rv2_coarse,1281497,3810653,509341168.5059702,502773573.51547855,-6567594.990491629,-0.293091068861828,0.7694525431879122
Random-210,random,rv2_coarse,24675,5067475,10566257.708481826,506831130.54241365,496264872.8339318,46.25577299205938,0.0
Random-211,random,rv2_coarse,19747,5072403,38579604.146443725,506239936.81324106,467660332.66679734,13.914742467459352,0.0
Random-212,random,rv2_coarse,1186385,3905765,459181114.31839955,518169736.10643244,58988621.78803289,2.62395104545166,0.008691627682477554
Random-213,random,rv2_coarse,496080,4596070,375298949.2818439,518363841.9115976,143064892.6297537,4.758437795076065,1.9509699540343206e-06
Random-214,random,rv2_coarse,131623,4960527,672457983.4570687,499967819.64855844,-172490163.80851024,-2.4272616310199036,0.01521328039478198
Random-215,random,rv2_coarse,18089,5074061,10662187.182140216,506186649.5791905,495524462.39705026,44.64453326688057,0.0
Random-216,random,rv2_coarse,805427,4286723,431122859.31096494,518199289.8650372,87076430.55407226,3.3896662838760934,0.0006997775415455987
Random-217,random,rv2_coarse,1011124,4081026,537060408.976382,496340904.6373484,-40719504.3390336,-1.5206870688878984,0.12833838526456853
Random-218,random,rv2_coarse,756766,4335384,431094251.5042204,517226924.6093382,86132673.1051178,3.291714764671144,0.0009957855218982736
Random-219,random,rv2_coarse,28533,5063617,15119454.937335169,507183580.87640655,492064125.93907136,44.758901423678935,0.0
Random-220,random,rv2_coarse,2170,5089980,305751010.4439876,504511083.7295452,198760073.28555757,0.6832607116910664,0.4944421154204699
Random-221,random,rv2_coarse,107541,4984609,490039582.56423134,504736772.5143205,14697189.950089157,0.22676655531147602,0.820605271238005
Random-222,random,rv2_coarse,420638,4671512,562789772.4777019,499171155.1503878,-63618617.32731408,-1.7173738158927998,0.08591089269008645
Random-223,random,rv2_coarse,16548,5075602,19256125.511890598,506008184.89893484,486752059.38704425,41.37125357752183,0.0
Random-224,random,rv2_coarse,522,5091628,244563985.46158105,504453024.3085243,259889038.84694326,1.5942894545158304,0.11087121854038906
Random-225,random,rv2_coarse,1799,5090351,367821745.59301174,504474660.85031307,136652915.25730133,0.3895381472240097,0.696878097189962
Random-226,random,rv2_coarse,729919,4362231,489859107.37232214,506863881.31675667,17004773.944434524,0.5557496431909394,0.5783820145297065
Random-227,random,rv2_coarse,317082,4775068,518675735.5998155,503480173.6978224,-15195561.901993096,-0.3431468243218543,0.7314880065306295
Random-228,random,rv2_coarse,19089,5073061,17196300.080014177,506259740.5160606,489063440.4360464,43.04296145143511,0.0
Random-229,random,rv2_coarse,30470,5061680,258560990.63405284,505906428.7489044,247345438.11485156,2.4403957378947814,0.014671180275174889
Random-230,random,rv2_coarse,28501,5063649,15161878.743407577,507180232.46641076,492018353.72300315,44.74650794800431,0.0
Random-231,random,rv2_coarse,1807,5090343,80165746.12601602,504576989.4388501,424411243.3128341,8.774664513091514,0.0
Random-232,random,rv2_coarse,977247,4114903,521236877.39430904,500434063.9211711,-20802813.473137915,-0.7746017044696417,0.43857504982677953
Random-233,random,rv2_coarse,1173470,3918680,585056816.1535164,480281161.9225628,-104775654.23095363,-4.198591466965464,2.6858036614951786e-05
Random-234,random,rv2_coarse,1165105,3927045,467325881.05600315,515433636.4891717,48107755.43316853,2.104441950634323,0.035339913281819735
Random-235,random,rv2_coarse,1105740,3986410,562078633.3227847,488434952.1609766,-73643681.16180807,-2.8036914224299663,0.005052123213606707
Random-236,random,rv2_coarse,1035529,4056621,524001737.28130895,499429404.58307517,-24572332.698233783,-0.9856363524982169,0.3243115925643809
Random-237,random,rv2_coarse,562242,4529908,360393039.2870831,522303477.7879651,161910438.50088203,5.909426347686027,3.433011208642256e-09
Random-238,random,rv2_coarse,21238,5070912,32256119.110468816,506403926.98526555,474147807.87479675,15.120929778980772,0.0
Random-239,random,rv2_coarse,410055,4682095,412843023.71324646,512447197.1554696,99604173.44222313,2.6416321907704905,0.008250760272820568
Random-240,random,rv2_coarse,23077,5069073,54759643.36736253,506473494.7325449,451713851.3651824,11.881956130635862,0.0
Random-241,random,rv2_coarse,1167737,3924413,511548519.08496636,502307140.615336,-9241378.46963036,-0.3983460879088778,0.6903750921384435
Random-242,random,rv2_coarse,21380,5070770,32429159.88932998,506416475.2524647,473987315.36313474,15.204963433775292,0.0
Random-243,random,rv2_coarse,54912,5037238,311210751.04420733,506532667.4842512,195321916.44004387,2.856194771912666,0.00428752026881396
Random-244,random,rv2_coarse,1013083,4079067,504441935.15416175,504422520.3122653,-19414.84189647436,-0.0008021427882234904,0.9993599827223518
Random-245,random,rv2_coarse,1206088,3886062,602259954.7529697,474062508.87048995,-128197445.88247979,-5.1141252065979845,3.151982441718104e-07
Random-246,random,rv2_coarse,755760,4336390,406274464.09008884,521532615.07236385,115258150.98227501,4.5799651452358425,4.650534242367499e-06
Random-247,random,rv2_coarse,37636,5054514,411940768.5629708,505115032.40246993,93174263.83949912,0.9089148394075567,0.3633950800741963
Random-248,random,rv2_coarse,25796,5066354,8144826.903060159,506953264.9513997,498808438.04833955,47.16021225031781,0.0
Random-249,random,rv2_coarse,1188172,3903978,492112353.71181506,508174145.9915758,16061792.279760718,0.6980496477194403,0.48514614583601423
Random-250,random,rv2_coarse,20724,5071426,14355391.705440212,506429021.05180484,492073629.3463646,44.46696416721579,0.0
Random-251,random,rv2_coarse,17423,5074727,18529819.618442353,506094605.7999104,487564786.18146807,42.00703907703108,0.0
Random-252,random,rv2_coarse,567,5091583,1122456949.380291,504357558.8503763,-618099390.5299146,-0.555960137376595,0.5782381057898456
Random-253,random,rv2_coarse,163824,4928326,451234653.72853774,506194545.519503,54959891.79096526,1.1460737215948102,0.25176464969632795
Random-254,random,rv2_coarse,183000,4909150,413066230.55086887,507832045.3568469,94765814.80597806,1.8464217626036918,0.06483098971525147
Random-255,random,rv2_coarse,169600,4922550,547638425.5784682,502937568.6740138,-44700856.90445441,-0.7619680781926064,0.44607905646724677
Random-256,random,rv2_coarse,145505,4946645,799148575.7709199,495757163.1149651,-303391412.65595484,-4.41602421971881,1.0053282517796802e-05
Random-257,random,rv2_coarse,497723,4594427,515549734.0416311,503221369.1452648,-12328364.896366298,-0.35737692150644007,0.720809651514073
Random-258,random,rv2_coarse,638576,4453574,434253080.0210287,514488186.527689,80235106.50666028,2.898127706007127,0.003753976991630603
Random-259,random,rv2_coarse,1956,5090194,339334136.22659045,504489822.6047799,165155686.37818944,0.5118233974975944,0.6087746136165144
Random-260,random,rv2_coarse,280540,4811610,652314337.2927767,495803804.02199244,-156510533.27078426,-3.115870225238596,0.0018340296557637359
Random-261,random,rv2_coarse,804934,4287216,422853208.9787223,519741921.2697228,96888712.29100055,3.9804940926518277,6.877217392964319e-05
