target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Cygnus-A,fixed,rv2_coarse,6,3.93,2.704007032051049,0.802,500
Sag-A,fixed,rv2_coarse,6,3.93,-0.8697718594468186,0.116,500
Mercury,planet,rv2_coarse,6,3.93,-0.8290742251259634,0.142,500
Venus,planet,rv2_coarse,6,3.93,-1.2679069638777019,0.01,500
Mars,planet,rv2_coarse,6,3.93,-0.8953856021951061,0.108,500
Jupiter,planet,rv2_coarse,6,3.93,2.641972132479417,0.77,500
Saturn,planet,rv2_coarse,6,3.93,2.42221657064212,0.65,500
Uranus,planet,rv2_coarse,6,3.93,2.496774634143568,0.666,500
Neptune,planet,rv2_coarse,6,3.93,-0.9544739917782828,0.076,500
Earth,earth,rv2_coarse,6,3.93,2.8373315907575387,0.926,500
Fornax-A,fixed,rv2_coarse,7,4.7,4.492269550248609,0.38,500
Cygnus-A,fixed,rv2_coarse,7,4.7,13.716531462247861,0.788,500
Sag-A,fixed,rv2_coarse,7,4.7,-9.261861672055977,0.004,500
Mercury,planet,rv2_coarse,7,4.7,-6.919364581505653,0.064,500
Venus,planet,rv2_coarse,7,4.7,-7.436804029832343,0.062,500
Mars,planet,rv2_coarse,7,4.7,-8.525725475009557,0.036,500
Jupiter,planet,rv2_coarse,7,4.7,13.720509279019238,0.882,500
Saturn,planet,rv2_coarse,7,4.7,7.905731755914141,0.642,500
Uranus,planet,rv2_coarse,7,4.7,1.5141563135153762,0.22,500
Neptune,planet,rv2_coarse,7,4.7,-8.578069242555115,0.034,500
Earth,earth,rv2_coarse,7,4.7,12.739088396276214,0.728,500
Fornax-A,fixed,rv2_coarse,8,6.55,2.0129117947780863,0.49,500
Cygnus-A,fixed,rv2_coarse,8,6.55,18.999950358119175,0.958,500
Sag-A,fixed,rv2_coarse,8,6.55,-4.560391538459159,0.04,500
Mercury,planet,rv2_coarse,8,6.55,-5.732823185622257,0.0,500
Venus,planet,rv2_coarse,8,6.55,-5.8592793995595045,0.0,500
Mars,planet,rv2_coarse,8,6.55,-6.551774241498363,0.0,500
Jupiter,planet,rv2_coarse,8,6.55,18.86297431178951,0.956,500
Saturn,planet,rv2_coarse,8,6.55,3.7261553193013572,0.754,500
Uranus,planet,rv2_coarse,8,6.55,0.021264528733464495,0.246,500
Neptune,planet,rv2_coarse,8,6.55,-5.3314391064527085,0.004,500
Earth,earth,rv2_coarse,8,6.55,14.479387715102858,0.89,500
Fornax-A,fixed,rv2_coarse,9,9.18,2.754069803817546,0.67,500
Cygnus-A,fixed,rv2_coarse,9,9.18,0.33078318431786363,0.356,500
Sag-A,fixed,rv2_coarse,9,9.18,-5.759399876023936,0.06,500
Mercury,planet,rv2_coarse,9,9.18,-8.06519564318816,0.0,500
Venus,planet,rv2_coarse,9,9.18,-7.489750531529285,0.0,500
Mars,planet,rv2_coarse,9,9.18,-8.76282264940187,0.0,500
Jupiter,planet,rv2_coarse,9,9.18,0.9903027199422526,0.42,500
Saturn,planet,rv2_coarse,9,9.18,3.2634074779118083,0.72,500
Uranus,planet,rv2_coarse,9,9.18,-0.5998362957861499,0.274,500
Neptune,planet,rv2_coarse,9,9.18,-7.20295949872565,0.006,500
Earth,earth,rv2_coarse,9,9.18,11.360382562628084,0.91,500
