target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Saturn,planet,rv2_coarse,4,1.31,121716,573026,3417314.124439782,2555499.328112552,-861814.79632723,-1.5960900907104751,0.11046868075322269
Saturn,planet,rv2_coarse,5,2.2,121761,571525,3119197.7478076927,18210599.730104458,15091401.982296765,3.3794683430402666,0.000726261709068865
Saturn,planet,rv2_coarse,6,3.93,121602,570230,1680997.0074102527,7931277.40055651,6250280.393146258,2.42221657064212,0.015426154060073305
Saturn,planet,rv2_coarse,7,4.7,119343,563183,46662236.39813043,213075656.0570263,166413419.65889585,7.905731755914141,2.6645352591003757e-15
Saturn,planet,rv2_coarse,8,6.55,119395,562412,201377839.92009112,324787058.3762283,123409218.45613715,3.7261553193013572,0.00019442262762714435
Saturn,planet,rv2_coarse,9,9.18,108511,510152,229021926.15204194,334838426.48811525,105816500.33607331,3.2634074779118083,0.0011008112100570067
Uranus,planet,rv2_coarse,1,0.45,9410,668780,3593230080.489871,3405246183.025906,-187983897.46396494,-0.29340180454834375,0.7692150462867633
Uranus,planet,rv2_coarse,2,0.7,9563,684030,641964968.3895879,232106205.74413913,-409858762.64544874,-1.7471799819832945,0.0806061229558599
Uranus,planet,rv2_coarse,3,0.9,9548,684543,1575773.451979472,9837163.887600029,8261390.435620557,2.962612339834931,0.0030504047509944954
Uranus,planet,rv2_coarse,4,1.31,9618,685124,1648920.6613316177,2721332.262540282,1072411.6012086645,8.95126275121317,0.0
Uranus,planet,rv2_coarse,5,2.2,9668,683618,1161821.9105037237,15763741.085647264,14601919.17514354,3.91185110552747,9.159137687753116e-05
Uranus,planet,rv2_coarse,6,3.93,9611,682221,1486523.2606128394,6907993.062595098,5421469.801982259,2.496774634143568,0.012532857912552986
Uranus,planet,rv2_coarse,7,4.7,9480,673046,73845586.16577499,185528689.46071267,111683103.29493769,1.5141563135153762,0.12998619880403384
Uranus,planet,rv2_coarse,8,6.55,9468,672339,300327448.292484,303216303.0737726,2888854.781288624,0.021264528733464495,0.9830346394070952
Uranus,planet,rv2_coarse,9,9.18,8672,609991,411860357.77977705,314919790.87524724,-96940566.90452981,-0.5998362957861499,0.5486153414012047
Neptune,planet,rv2_coarse,1,0.45,120452,557738,2744971308.3887515,3551014191.7951326,806042883.4063811,4.340493260172328,1.4216322935522996e-05
Neptune,planet,rv2_coarse,2,0.7,123439,570154,192468804.05555338,247562171.2801448,55093367.224591434,1.2994397058467644,0.19379307275545798
Neptune,planet,rv2_coarse,3,0.9,123617,570474,3657973.923226579,11037872.7191097,7379898.79588312,2.1878399648869493,0.028681261627867105
Neptune,planet,rv2_coarse,4,1.31,123743,570999,2654230.0637303726,2717810.316979799,63580.25324942637,0.4097005283878405,0.6820256424200444
Neptune,planet,rv2_coarse,5,2.2,123287,569999,14043616.372123074,15888123.165214017,1844506.7930909432,0.2956348080853127,0.7675089881982189
Neptune,planet,rv2_coarse,6,3.93,122791,569041,12695613.524358813,5567538.771274649,-7128074.753084164,-0.9544739917782828,0.33984376820900253
Neptune,planet,rv2_coarse,7,4.7,121310,561216,617307013.0655841,90310833.4912767,-526996179.5743074,-8.578069242555115,0.0
Neptune,planet,rv2_coarse,8,6.55,120753,561054,537696276.2901647,252701536.43300688,-284994739.8571578,-5.3314391064527085,9.74374947393386e-08
Neptune,planet,rv2_coarse,9,9.18,109417,509246,619099406.9196688,251214327.40074492,-367885079.5189239,-7.20295949872565,5.890843368661081e-13
Earth,earth,rv2_coarse,1,0.45,55342,622848,296304876.62861454,3684325441.936226,3388020565.3076115,30.42335405180951,0.0
Earth,earth,rv2_coarse,2,0.7,55697,637896,5110974.871997216,258070364.04120344,252959389.16920623,13.073608802833457,0.0
Earth,earth,rv2_coarse,3,0.9,55853,638238,2693750.5809435034,10338702.98044217,7644952.399498667,2.5553564085762295,0.010607911842150708
Earth,earth,rv2_coarse,4,1.31,55914,638828,2131096.3032001783,2756847.2973385653,625750.994138387,4.845795315632841,1.2610547743818756e-06
Earth,earth,rv2_coarse,5,2.2,55890,637396,2889704.168366434,16671118.240071733,13781414.071705298,3.4421633293977334,0.0005770817038495135
Earth,earth,rv2_coarse,6,3.93,55916,635916,807539.6875447099,7362466.931238859,6554927.243694149,2.8373315907575387,0.004549233894794336
Earth,earth,rv2_coarse,7,4.7,55709,626817,5173273.056521226,199868862.22760484,194695589.1710836,12.739088396276214,0.0
Earth,earth,rv2_coarse,8,6.55,55543,626264,29049955.639482304,327488287.0269834,298438331.38750106,14.479387715102858,0.0
Earth,earth,rv2_coarse,9,9.18,48151,570512,46942677.681128114,339010492.86504954,292067815.18392146,11.360382562628084,0.0
