Receiver,Date,Channel_Freq,Time_Offset_Min,Actual_Time,Log_Cal_Temp
RAE-B BURST RECEIVER 1,1975/5/3,0.130,22.213,1975-05-03 02:22:12,5.9627
RAE-B BURST RECEIVER 1,1975/5/3,0.130,22.4922,1975-05-03 02:22:29,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,22.6163,1975-05-03 02:22:36,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,23.0041,1975-05-03 02:23:00,6.304
RAE-B BURST RECEIVER 1,1975/5/3,0.130,23.7952,1975-05-03 02:23:47,5.7707
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.183,1975-05-03 02:24:10,5.856
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.3226,1975-05-03 02:24:19,6.2827
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.4623,1975-05-03 02:24:27,5.8987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.5863,1975-05-03 02:24:35,6.2613
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.7104,1975-05-03 02:24:42,6.3253
RAE-B BURST RECEIVER 1,1975/5/3,0.130,24.8345,1975-05-03 02:24:50,5.8987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,25.2534,1975-05-03 02:25:15,6.5173
RAE-B BURST RECEIVER 1,1975/5/3,0.130,25.393,1975-05-03 02:25:23,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,25.6567,1975-05-03 02:25:39,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,25.7808,1975-05-03 02:25:46,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,25.9049,1975-05-03 02:25:54,6.2827
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.0445,1975-05-03 02:26:02,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.1841,1975-05-03 02:26:11,6.2613
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.2927,1975-05-03 02:26:17,6.6667
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.4478,1975-05-03 02:26:26,6.2613
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.5874,1975-05-03 02:26:35,7.584
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.7115,1975-05-03 02:26:42,8.3947
RAE-B BURST RECEIVER 1,1975/5/3,0.130,26.8356,1975-05-03 02:26:50,8.0107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.2544,1975-05-03 02:27:15,8.0107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.3785,1975-05-03 02:27:22,8.032
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.4871,1975-05-03 02:27:29,6.432
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.6112,1975-05-03 02:27:36,6.3467
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.7663,1975-05-03 02:27:45,6.688
RAE-B BURST RECEIVER 1,1975/5/3,0.130,27.9059,1975-05-03 02:27:54,7.1573
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.03,1975-05-03 02:28:01,7.2213
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.1541,1975-05-03 02:28:09,6.752
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.2937,1975-05-03 02:28:17,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.4023,1975-05-03 02:28:24,6.7733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.8366,1975-05-03 02:28:50,10.0587
RAE-B BURST RECEIVER 1,1975/5/3,0.130,28.9607,1975-05-03 02:28:57,7.4987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.2399,1975-05-03 02:29:14,7.1787
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.364,1975-05-03 02:29:21,7.1787
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.5036,1975-05-03 02:29:30,7.52
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.6122,1975-05-03 02:29:36,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.7673,1975-05-03 02:29:46,8.3733
RAE-B BURST RECEIVER 1,1975/5/3,0.130,29.9069,1975-05-03 02:29:54,8.864
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.031,1975-05-03 02:30:01,9.2267
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.1551,1975-05-03 02:30:09,8.0107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.4033,1975-05-03 02:30:24,6.4533
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.5429,1975-05-03 02:30:32,6.8373
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.8221,1975-05-03 02:30:49,7.0933
RAE-B BURST RECEIVER 1,1975/5/3,0.130,30.9462,1975-05-03 02:30:56,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,31.0703,1975-05-03 02:31:04,7.2213
RAE-B BURST RECEIVER 1,1975/5/3,0.130,31.3495,1975-05-03 02:31:20,7.2
RAE-B BURST RECEIVER 1,1975/5/3,0.130,31.4891,1975-05-03 02:31:29,8.352
RAE-B BURST RECEIVER 1,1975/5/3,0.130,31.6132,1975-05-03 02:31:36,8.032
RAE-B BURST RECEIVER 1,1975/5/3,0.130,31.8925,1975-05-03 02:31:53,7.9893
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.0165,1975-05-03 02:32:00,7.9467
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.1406,1975-05-03 02:32:08,8.0107
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.2802,1975-05-03 02:32:16,8.224
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.4043,1975-05-03 02:32:24,8.2027
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.5284,1975-05-03 02:32:31,8.16
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.668,1975-05-03 02:32:40,7.712
RAE-B BURST RECEIVER 1,1975/5/3,0.130,32.9317,1975-05-03 02:32:55,7.2213
RAE-B BURST RECEIVER 1,1975/5/3,0.130,33.0714,1975-05-03 02:33:04,7.5627
