target,frequency_band,mean,std,obs_z,n_blocked,n_visible,perm_percentile,perm_reps
Saturn,8,0.9008072613145496,0.02832374025303749,1.023086595290589,677,3859,1.0,20
Saturn,9,-1.374996565254619,0.26628860407045235,-0.04621382670757051,765,4345,1.0,20
Uranus,1,3.582428139750641,0.7164673699406918,3.8917498562681034,62,5032,0.35,20
Uranus,2,1.276972158312019,0.01778744041156476,1.290798064468494,75,4638,0.65,20
Uranus,3,0.2971318982760629,0.9806811402287643,1.18516396019072,59,4668,1.0,20
Uranus,4,-0.7042449994321052,0.5007695484932576,1.8925408869194518,64,4607,1.0,20
Uranus,5,-5.770810883434277,0.4129649258875179,6.955221314509864,58,4799,1.0,20
Uranus,6,6.660341205150414,3.57557142213684,3.5753886005932145,73,4575,0.25,20
Uranus,7,1.445319773497944,0.016782265335043567,1.5196890662484392,67,4665,1.0,20
Uranus,8,1.0006097997294714,0.009191562430055122,1.0296282689516587,69,4467,1.0,20
Uranus,9,2.521388872045592,0.014366199961467232,2.543622988251458,81,5029,1.0,20
Venus,1,-0.946286404253551,0.19010368501588185,3.1393926104962273,108,4986,1.0,20
Venus,2,1.2711961843470685,0.0041299761792428,1.2877282846647717,132,4581,1.0,20
Venus,3,1.077743430953637,0.05874194477597477,1.1312410511112403,102,4625,0.55,20
Venus,4,-0.23849224887231274,1.0885730177488455,2.01178355713921,121,4550,0.95,20
Venus,5,-1.0230270628185982,0.4462603654704725,-0.8460080170106449,113,4744,0.55,20
Venus,6,1.4014577309945846,0.9246073668249133,1.8444885407817393,108,4540,0.85,20
Venus,7,0.8195520368803477,0.8523146247488961,1.558997041135118,107,4625,1.0,20
Venus,8,0.900813828255167,0.0021902381929601185,1.0346740720534877,118,4418,1.0,20
Venus,9,-0.9192510049855912,0.5904923833389433,2.5424335490038246,152,4958,1.0,20
