frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,645,-12.897895307510455,-0.5078541317821658,Earth,rv2_coarse,earth
2,0.7,647,-8.582925579025378,-0.3374296228531321,Earth,rv2_coarse,earth
3,0.9,645,-4.927671334381842,-0.19402686931201302,Earth,rv2_coarse,earth
4,1.31,649,5.861685272317296,0.23009127361480897,Earth,rv2_coarse,earth
5,2.2,657,6.324098140617831,0.24672656711960908,Earth,rv2_coarse,earth
6,3.93,659,1.8326883385970592,0.07139140172604247,Earth,rv2_coarse,earth
7,4.7,651,4.384802963253305,0.17185397753710133,Earth,rv2_coarse,earth
8,6.55,645,-4.869663819030881,-0.19174282562557926,Earth,rv2_coarse,earth
9,9.18,639,-8.14865749058461,-0.3223559082909922,Earth,rv2_coarse,earth
1,0.45,2309,-13.728902849865092,-0.28570896331723084,Random-000,rv2_coarse,random
2,0.7,2336,-24.16413561070202,-0.4999595231100792,Random-000,rv2_coarse,random
3,0.9,2314,-27.504315079475163,-0.571767093605968,Random-000,rv2_coarse,random
4,1.31,2342,-20.38691699299383,-0.42126764926104704,Random-000,rv2_coarse,random
5,2.2,2347,-1.149384148171988,-0.02372513314894684,Random-000,rv2_coarse,random
6,3.93,2340,-4.233225688892495,-0.08751117079633329,Random-000,rv2_coarse,random
7,4.7,2339,-5.69632806039245,-0.11778225968951872,Random-000,rv2_coarse,random
8,6.55,2334,-3.775008253747216,-0.07813893355675065,Random-000,rv2_coarse,random
9,9.18,2326,-4.076336075493983,-0.08452109740944784,Random-000,rv2_coarse,random
1,0.45,2367,2.598955928758274,0.05341949598785093,Random-001,rv2_coarse,random
2,0.7,2397,0.0847184282312135,0.001730389506428532,Random-001,rv2_coarse,random
3,0.9,2386,20.15424137675511,0.4126019117536633,Random-001,rv2_coarse,random
4,1.31,2405,26.615370347869355,0.5427189341434993,Random-001,rv2_coarse,random
5,2.2,2440,10.441483948739446,0.21138166384080712,Random-001,rv2_coarse,random
6,3.93,2460,1.9403077712025005,0.03912038043581131,Random-001,rv2_coarse,random
7,4.7,2446,3.39109790641579,0.06856651911315154,Random-001,rv2_coarse,random
8,6.55,2424,-4.0436229421599,-0.08213047681644427,Random-001,rv2_coarse,random
9,9.18,2407,-2.5551921376001503,-0.05208174385741698,Random-001,rv2_coarse,random
1,0.45,2065,0.617962547889888,0.013598848238413803,Random-002,rv2_coarse,random
2,0.7,2100,-24.817011010815385,-0.5415515784743525,Random-002,rv2_coarse,random
3,0.9,2082,-52.44559751299894,-1.1493933367237839,Random-002,rv2_coarse,random
4,1.31,2101,-54.81206766231345,-1.1958126930532305,Random-002,rv2_coarse,random
5,2.2,2121,-21.439356467326647,-0.46552328732159964,Random-002,rv2_coarse,random
6,3.93,2133,3.512785646308636,0.07605998261209176,Random-002,rv2_coarse,random
7,4.7,2117,0.6904365609373734,0.015005945045767459,Random-002,rv2_coarse,random
8,6.55,2109,1.4774692489724426,0.03217215561325959,Random-002,rv2_coarse,random
9,9.18,2082,0.5245656020762162,0.011496335942239243,Random-002,rv2_coarse,random
1,0.45,1765,5.785777018729924,0.1377175656235701,Random-003,rv2_coarse,random
2,0.7,1785,-22.158140998421725,-0.5244622229032575,Random-003,rv2_coarse,random
3,0.9,1781,-39.51807956522672,-0.9364053182260423,Random-003,rv2_coarse,random
4,1.31,1816,-41.34021713649164,-0.9700962623371935,Random-003,rv2_coarse,random
5,2.2,1824,-25.657692942175593,-0.6007657791890357,Random-003,rv2_coarse,random
6,3.93,1804,-4.001402739152322,-0.09420934807307928,Random-003,rv2_coarse,random
7,4.7,1804,-4.149296372495245,-0.09769136767712128,Random-003,rv2_coarse,random
8,6.55,1814,-1.3099671141098554,-0.030756842714863085,Random-003,rv2_coarse,random
9,9.18,1799,-3.0337541251729787,-0.07152614161168208,Random-003,rv2_coarse,random
1,0.45,1908,0.7323641007565129,0.01676632431594819,Random-004,rv2_coarse,random
2,0.7,1919,12.865151570972683,0.2936820613787381,Random-004,rv2_coarse,random
3,0.9,1903,18.54038570655585,0.42501021727254257,Random-004,rv2_coarse,random
4,1.31,1903,-14.917550688341336,-0.34196222018101086,Random-004,rv2_coarse,random
5,2.2,1916,-21.945308652560154,-0.5013533728996086,Random-004,rv2_coarse,random
6,3.93,1916,7.7115534717156935,0.17617493581660398,Random-004,rv2_coarse,random
7,4.7,1910,-2.1260400876999928,-0.04864685466017796,Random-004,rv2_coarse,random
8,6.55,1916,1.1744418705838782,0.02683080937314873,Random-004,rv2_coarse,random
9,9.18,1891,-0.9114485694858292,-0.0209597647190928,Random-004,rv2_coarse,random
1,0.45,879,-3.05205001111439,-0.10294309190537787,Random-005,rv2_coarse,random
2,0.7,895,-6.970816936219561,-0.2330087124232127,Random-005,rv2_coarse,random
3,0.9,892,-1.9915186851175615,-0.0666809775919248,Random-005,rv2_coarse,random
4,1.31,901,-4.920410163515164,-0.16392262927245663,Random-005,rv2_coarse,random
5,2.2,903,8.037129271482188,0.2674589150438841,Random-005,rv2_coarse,random
6,3.93,909,-1.6524143489074026,-0.054807124359983014,Random-005,rv2_coarse,random
7,4.7,902,1.959224111593865,0.06523502724670928,Random-005,rv2_coarse,random
8,6.55,906,-4.662720829653418,-0.154908523655725,Random-005,rv2_coarse,random
9,9.18,906,-3.557698065971018,-0.11819660132930654,Random-005,rv2_coarse,random
1,0.45,887,0.6633091045453154,0.022271740026373707,Random-006,rv2_coarse,random
2,0.7,897,4.026743964992978,0.1344490676592221,Random-006,rv2_coarse,random
3,0.9,907,7.484329512243112,0.2485130825584092,Random-006,rv2_coarse,random
4,1.31,917,6.810396066016673,0.22489909181800183,Random-006,rv2_coarse,random
5,2.2,926,5.507866986115422,0.1809997396772115,Random-006,rv2_coarse,random
6,3.93,934,-0.15216498856611418,-0.00497899052242564,Random-006,rv2_coarse,random
7,4.7,915,-2.1929461033789077,-0.07249656191075196,Random-006,rv2_coarse,random
8,6.55,911,-4.854743133643133,-0.16084481579462812,Random-006,rv2_coarse,random
9,9.18,898,-3.333902256906388,-0.11125375926986247,Random-006,rv2_coarse,random
1,0.45,2289,9.382932980757792,0.1961172152885707,Random-007,rv2_coarse,random
2,0.7,2328,16.4435529032455,0.3408035985999224,Random-007,rv2_coarse,random
3,0.9,2305,51.87600694095337,1.0805156831307314,Random-007,rv2_coarse,random
4,1.31,2319,57.24063106652131,1.1886501207184939,Random-007,rv2_coarse,random
5,2.2,2354,7.247018060118961,0.1493675007554908,Random-007,rv2_coarse,random
6,3.93,2323,6.274441904904555,0.130181867583194,Random-007,rv2_coarse,random
7,4.7,2314,3.926751753994185,0.08163037076930675,Random-007,rv2_coarse,random
8,6.55,2309,3.249841177494331,0.06763167923332478,Random-007,rv2_coarse,random
9,9.18,2314,1.3808188801210022,0.028704833972477105,Random-007,rv2_coarse,random
1,0.45,2058,8.93479116195417,0.19695260107160284,Random-008,rv2_coarse,random
2,0.7,2088,5.5383121370166535,0.12120266846256064,Random-008,rv2_coarse,random
3,0.9,2075,-0.08501086609788532,-0.0018662309616634075,Random-008,rv2_coarse,random
4,1.31,2090,24.66366718052777,0.5394913778647026,Random-008,rv2_coarse,random
5,2.2,2099,25.583887431709044,0.5584191667147002,Random-008,rv2_coarse,random
6,3.93,2090,-2.66602332288053,-0.05831641277643417,Random-008,rv2_coarse,random
7,4.7,2085,0.12200000227354177,0.0026718176170491496,Random-008,rv2_coarse,random
8,6.55,2069,-1.0513101158985163,-0.023112695514670448,Random-008,rv2_coarse,random
9,9.18,2049,-0.5772335886918865,-0.012752067860027323,Random-008,rv2_coarse,random
1,0.45,651,-8.766461847623585,-0.3435847289073107,Random-009,rv2_coarse,random
2,0.7,652,-7.5887743455284395,-0.2971993404367836,Random-009,rv2_coarse,random
3,0.9,651,6.310230655513157,0.2473174385290707,Random-009,rv2_coarse,random
4,1.31,666,8.361538386066211,0.32400303121533425,Random-009,rv2_coarse,random
5,2.2,673,2.035148910293179,0.07844922537200308,Random-009,rv2_coarse,random
6,3.93,670,-1.4837790816220648,-0.05732338694750304,Random-009,rv2_coarse,random
7,4.7,662,3.9079851562567445,0.15188815640688166,Random-009,rv2_coarse,random
