frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
6,3.93,3,4.242277455781307,2.4492800310724188,Random-010,rv2_coarse,random
7,4.7,3,3.807262767192889,2.198124183514454,Random-010,rv2_coarse,random
8,6.55,3,-0.5584341676583489,-0.32241211702223227,Random-010,rv2_coarse,random
9,9.18,3,-3.748442499196273,-2.164164285952802,Random-010,rv2_coarse,random
1,0.45,22,-0.5642639135448032,-0.12030147058137229,Random-011,rv2_coarse,random
2,0.7,19,2.1006946086103806,0.48193239527228304,Random-011,rv2_coarse,random
3,0.9,18,7.501639145408015,1.7681533032441548,Random-011,rv2_coarse,random
4,1.31,20,5.5025969056396296,1.2304180733790209,Random-011,rv2_coarse,random
5,2.2,22,8.81454103818201,1.8792664636863308,Random-011,rv2_coarse,random
6,3.93,22,-4.584348925883742,-0.9773864750224871,Random-011,rv2_coarse,random
7,4.7,22,-0.7157555117352576,-0.15259958783743346,Random-011,rv2_coarse,random
8,6.55,21,-5.15698257755107,-1.1253458580569646,Random-011,rv2_coarse,random
9,9.18,21,-4.299850589193454,-0.9383043239037844,Random-011,rv2_coarse,random
1,0.45,25,5.377799349413494,1.0755598698826987,Random-012,rv2_coarse,random
2,0.7,23,0.2927119298269743,0.06103465653538712,Random-012,rv2_coarse,random
3,0.9,23,1.18802298489252,0.24771991658120077,Random-012,rv2_coarse,random
4,1.31,23,-13.577209681361156,-2.831043921239064,Random-012,rv2_coarse,random
5,2.2,23,7.562024711069638,1.5767911517138054,Random-012,rv2_coarse,random
6,3.93,23,1.8587923446782353,0.38758499660435836,Random-012,rv2_coarse,random
7,4.7,24,-4.15091978637163,-0.8473029533194207,Random-012,rv2_coarse,random
8,6.55,24,-1.8812491744966853,-0.3840083797124126,Random-012,rv2_coarse,random
9,9.18,25,-3.720550406347621,-0.7441100812695243,Random-012,rv2_coarse,random
1,0.45,3,-21.514900925898715,-12.421633841155751,Random-013,rv2_coarse,random
2,0.7,2,-3.6429638272321414,-2.5759644258531456,Random-013,rv2_coarse,random
3,0.9,2,-2.409330405551567,-1.703653867884448,Random-013,rv2_coarse,random
4,1.31,2,18.222593124295887,12.885319168992979,Random-013,rv2_coarse,random
5,2.2,3,19.463972535765198,11.237529783023518,Random-013,rv2_coarse,random
6,3.93,3,5.327259108979627,3.0756944806122735,Random-013,rv2_coarse,random
7,4.7,3,5.9515846707819895,3.4361490117808313,Random-013,rv2_coarse,random
8,6.55,3,-5.91606602932115,-3.415642314572166,Random-013,rv2_coarse,random
9,9.18,3,-8.044546954926664,-4.644521349935493,Random-013,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-014,rv2_coarse,random
2,0.7,3,4.420694379438224,2.552289089973724,Random-014,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-014,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-014,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-014,rv2_coarse,random
6,3.93,4,-2.2503658277067062,-1.1251829138533531,Random-014,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-014,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-014,rv2_coarse,random
9,9.18,4,5.354655100240101,2.6773275501200504,Random-014,rv2_coarse,random
1,0.45,29,-4.469520843705177,-0.8299691845612149,Random-015,rv2_coarse,random
2,0.7,30,12.947909307863966,2.363954000149399,Random-015,rv2_coarse,random
3,0.9,30,28.544356675265355,5.2114626801720005,Random-015,rv2_coarse,random
4,1.31,31,16.20911116669676,2.911242306680141,Random-015,rv2_coarse,random
5,2.2,32,4.458141996724616,0.7880956093441279,Random-015,rv2_coarse,random
6,3.93,31,8.371161315546125,1.503504956393516,Random-015,rv2_coarse,random
7,4.7,31,-3.4860315196322547,-0.6261097439584081,Random-015,rv2_coarse,random
8,6.55,31,-1.9328265726246516,-0.3471459003416267,Random-015,rv2_coarse,random
9,9.18,29,-0.12343319555001148,-0.022920968989933555,Random-015,rv2_coarse,random
1,0.45,40,-2.3948552573395823,-0.37865986398108786,Random-016,rv2_coarse,random
2,0.7,36,-2.586581365146317,-0.4310968941910528,Random-016,rv2_coarse,random
3,0.9,34,7.126788644546616,1.2222341691494432,Random-016,rv2_coarse,random
4,1.31,37,-0.5080679622513297,-0.0835258584764151,Random-016,rv2_coarse,random
5,2.2,38,-2.2242796037322106,-0.3608257983096085,Random-016,rv2_coarse,random
6,3.93,39,-1.9652263815303697,-0.31468807228350987,Random-016,rv2_coarse,random
7,4.7,38,0.4481783658043572,0.07270413142084557,Random-016,rv2_coarse,random
8,6.55,37,3.9193298199562916,0.6443338533165026,Random-016,rv2_coarse,random
9,9.18,37,7.410318673304847,1.2182488855012956,Random-016,rv2_coarse,random
1,0.45,4,13.821021595318204,6.910510797659102,Random-017,rv2_coarse,random
2,0.7,3,4.420694379438224,2.552289089973724,Random-017,rv2_coarse,random
3,0.9,3,6.0004154827459235,3.4643414942129573,Random-017,rv2_coarse,random
4,1.31,3,-12.663857729218712,-7.3114816689435465,Random-017,rv2_coarse,random
5,2.2,4,-6.07644393034564,-3.03822196517282,Random-017,rv2_coarse,random
6,3.93,4,-2.2503658277067062,-1.1251829138533531,Random-017,rv2_coarse,random
7,4.7,4,-3.0814078093845287,-1.5407039046922644,Random-017,rv2_coarse,random
8,6.55,4,1.670028776804468,0.835014388402234,Random-017,rv2_coarse,random
9,9.18,4,5.354655100240101,2.6773275501200504,Random-017,rv2_coarse,random
1,0.45,19,-3.7592913817007423,-0.862440591166154,Random-018,rv2_coarse,random
2,0.7,19,-6.00178156557534,-1.3769031223972759,Random-018,rv2_coarse,random
3,0.9,18,2.4049191661905547,0.5668448835396129,Random-018,rv2_coarse,random
4,1.31,17,8.201162751536158,1.9890741339685145,Random-018,rv2_coarse,random
5,2.2,20,9.918486768204065,2.217841064763649,Random-018,rv2_coarse,random
6,3.93,19,4.223117498072386,0.9688496000418874,Random-018,rv2_coarse,random
7,4.7,20,2.0026065282956322,0.447796432945389,Random-018,rv2_coarse,random
8,6.55,20,3.4284487722901473,0.7666244512216467,Random-018,rv2_coarse,random
9,9.18,20,1.6503141310611364,0.3690214581281198,Random-018,rv2_coarse,random
1,0.45,4,0.0,0.0,Random-019,rv2_coarse,random
2,0.7,2,0.0,0.0,Random-019,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-019,rv2_coarse,random
4,1.31,3,-3.8890385387181547,-2.2453374472177554,Random-019,rv2_coarse,random
5,2.2,4,0.0,0.0,Random-019,rv2_coarse,random
6,3.93,4,-0.834888761112792,-0.417444380556396,Random-019,rv2_coarse,random
7,4.7,4,0.0,0.0,Random-019,rv2_coarse,random
8,6.55,4,0.1657852324896747,0.08289261624483735,Random-019,rv2_coarse,random
9,9.18,4,-0.0034626277854563625,-0.0017313138927281813,Random-019,rv2_coarse,random
1,0.45,3,-5.284681782086471,-3.051112449469135,Random-020,rv2_coarse,random
2,0.7,2,0.0,0.0,Random-020,rv2_coarse,random
3,0.9,2,0.0,0.0,Random-020,rv2_coarse,random
4,1.31,2,0.0,0.0,Random-020,rv2_coarse,random
5,2.2,3,7.254331087152114,4.188290005957943,Random-020,rv2_coarse,random
6,3.93,3,4.3703484571760365,2.52322185820305,Random-020,rv2_coarse,random
7,4.7,3,3.807262767192889,2.198124183514454,Random-020,rv2_coarse,random
8,6.55,3,-0.4282394212236979,-0.2472441451211115,Random-020,rv2_coarse,random
9,9.18,3,-3.748442499196273,-2.164164285952802,Random-020,rv2_coarse,random
1,0.45,2,-19.545876185950434,-13.821021595318204,Random-021,rv2_coarse,random
2,0.7,1,-8.795638253351653,-8.795638253351653,Random-021,rv2_coarse,random
3,0.9,1,-10.393024482638872,-10.393024482638872,Random-021,rv2_coarse,random
