target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-101,random,rv2_coarse,858415,4233735,411257394.28769886,523316950.5264027,112059556.23870385,4.6992616816012065,2.611037163813279e-06
Random-102,random,rv2_coarse,604059,4488091,403981721.79185456,517945382.74079305,113963660.94893849,4.223246755464206,2.4080792225156245e-05
Random-103,random,rv2_coarse,1176414,3915736,587744385.8486053,479394954.54256207,-108349431.30604321,-4.365522058795976,1.268195025039276e-05
Random-104,random,rv2_coarse,18568,5073582,11928305.09762785,506228798.68410957,494300493.5864817,44.19441468455752,0.0
Random-105,random,rv2_coarse,365098,4727052,411260874.7246632,511622102.48885566,100361227.76419246,2.937552210307744,0.0033081446361962197
Random-106,random,rv2_coarse,1056,5091094,127334849.43212152,504504599.61127687,377169750.17915535,4.6489013260176355,3.3370779906061188e-06
Random-107,random,rv2_coarse,294146,4798004,460014834.70267063,507149073.2575301,47134238.55485946,1.2036767669059156,0.2287145354529505
Random-108,random,rv2_coarse,563839,4528311,506455599.3642099,504173716.63837963,-2281882.725830257,-0.07110651515723566,0.9433129829530131
Random-109,random,rv2_coarse,705515,4386635,410856528.15061533,519475489.11550504,108618960.9648897,4.120498223984245,3.7805398154455716e-05
Random-110,random,rv2_coarse,166114,4926036,513431719.1715345,504122708.20917946,-9309010.962355018,-0.17909295473099163,0.8578647138837261
Random-111,random,rv2_coarse,2653,5089497,251610615.0306581,504558168.0650757,252947553.0344176,1.0627204134254373,0.28790876068137505
Random-112,random,rv2_coarse,391584,4700566,542755117.169609,501233380.37432736,-41521736.79528159,-0.989241699726753,0.32254490068456265
Random-113,random,rv2_coarse,1091881,4000269,573607012.9999226,485543398.87967676,-88063614.12024587,-3.367945191429223,0.0007573064954542463
Random-114,random,rv2_coarse,755,5091395,855938501.8695364,504374257.366687,-351564244.5028494,-0.4209275301980852,0.6738080014390915
Random-115,random,rv2_coarse,545,5091605,235548479.87203267,504455163.2997541,268906683.4277214,1.7214617842468984,0.08516706112759453
Random-116,random,rv2_coarse,187621,4904529,463885154.8001056,505977273.0522389,42092118.25213331,0.8116865531773139,0.4169715121502331
Random-117,random,rv2_coarse,961162,4130988,552968729.85596,493131976.01362205,-59836753.842337966,-2.176716025913954,0.029501761824443973
Random-118,random,rv2_coarse,942405,4149745,536897854.2023301,497052128.1102402,-39845726.09208989,-1.4305400104482426,0.1525620909942731
Random-119,random,rv2_coarse,670956,4421194,416964953.9758651,517699442.2761237,100734488.30025858,3.7372026162963685,0.00018607897174760524
Random-120,random,rv2_coarse,388314,4703836,436586917.9812009,510026708.66616577,73439790.6849649,2.0262323832822657,0.04274097660408782
Random-121,random,rv2_coarse,432549,4659601,429333968.47927827,511397183.3473792,82063214.86810094,2.519449390479796,0.01175385360387593
Random-122,random,rv2_coarse,1040462,4051688,441133405.7329968,520679840.12061346,79546434.38761663,3.421536783953873,0.0006226830130362515
Random-123,random,rv2_coarse,876914,4215236,569033381.8863523,490985906.03489,-78047475.8514623,-2.8502244053240453,0.004368839325146201
Random-124,random,rv2_coarse,562,5091588,1132438495.6216638,504357064.08684975,-628081431.5348141,-0.5599617045594101,0.5755055589756117
