target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Cygnus-A,fixed,rv2_coarse,5,2.2,2816,573198,1994226.7357954546,18358084.128600217,16363857.392804762,3.675557397378894,0.00023733067312314837
Cygnus-A,fixed,rv2_coarse,6,3.93,2782,572233,940073.6735936376,5458076.074930182,4518002.401336544,2.199276944443552,0.027858236049292273
Cygnus-A,fixed,rv2_coarse,7,4.7,2759,563724,396988.84319499816,79290098.49031061,78893109.64711562,8.540360624316886,0.0
Cygnus-A,fixed,rv2_coarse,8,6.55,2773,563414,4294232.7281867,257922641.8418903,253628409.1137036,15.658813368321848,0.0
Cygnus-A,fixed,rv2_coarse,9,9.18,2458,513090,2002249.9803702198,250721862.929406,248719612.94903576,17.987243145270504,0.0
Sag-A,fixed,rv2_coarse,1,0.45,83094,479809,3070412378.505782,3791233610.636109,720821232.1303267,3.062847764303705,0.002192415635396072
Sag-A,fixed,rv2_coarse,2,0.7,85530,490949,219387032.3882628,275456068.9437646,56069036.55550182,1.066598038558642,0.2861533866027566
Sag-A,fixed,rv2_coarse,3,0.9,85641,490881,3719593.48496499,12512815.98711042,8793222.502145428,2.260389291340146,0.023797100538001104
Sag-A,fixed,rv2_coarse,4,1.31,85791,491208,2498362.5485700713,2869667.416946107,371304.8683760357,2.1990944693966537,0.0278712057146957
Sag-A,fixed,rv2_coarse,5,2.2,85405,490609,2735664.811768193,20983702.695189703,18248037.88342151,3.508380638293106,0.00045084349267798807
Sag-A,fixed,rv2_coarse,6,3.93,85033,489982,1880367.5900598885,6053310.5996952895,4172943.009635401,1.737085647333677,0.0823720543548887
Sag-A,fixed,rv2_coarse,7,4.7,83811,482672,141684382.051115,68005015.8896398,-73679366.16147521,-2.194550956972738,0.028195824840756112
Sag-A,fixed,rv2_coarse,8,6.55,83401,482786,212177719.67169163,264368273.39592135,52190553.72422972,1.2932879006146611,0.19591150379235778
Sag-A,fixed,rv2_coarse,9,9.18,76457,439091,171683432.22152898,263092165.4134092,91408733.19188023,2.670553782766631,0.007572623904909648
Mercury,planet,rv2_coarse,1,0.45,1804,561099,3881300461.061242,3684196527.9451685,-197103933.1160736,-0.13956998419410313,0.8889997575903941
Mercury,planet,rv2_coarse,2,0.7,1829,574650,103102731.82504101,267659409.33704418,164556677.51200318,1.7309923967097736,0.0834531205702056
Mercury,planet,rv2_coarse,3,0.9,1827,574695,2306466.9348316914,11234897.493670031,8928430.55883834,2.6810389596580153,0.007339397058852448
Mercury,planet,rv2_coarse,4,1.31,1813,575186,2391323.862107005,2815793.7498229067,424469.8877159017,1.3539521534935968,0.1757516429989825
Mercury,planet,rv2_coarse,5,2.2,1866,574148,1033134.8560423366,18334131.651058633,17300996.795016296,3.892704322167376,9.913294620766955e-05
Mercury,planet,rv2_coarse,6,3.93,1867,573148,1639402.13233128,5448585.3004187355,3809183.1680874554,1.8549155855523827,0.0636082819810262
Mercury,planet,rv2_coarse,7,4.7,1833,564650,43290662.90285734,79021473.4587254,35730810.55586805,0.8456814022813206,0.39773050077191896
Mercury,planet,rv2_coarse,8,6.55,1842,564345,686629314.7456548,255277116.01998872,-431352198.7256661,-0.9837430828770205,0.32524185086897806
Mercury,planet,rv2_coarse,9,9.18,1745,513803,1045685818.2267303,246832113.53007874,-798853704.6966516,-1.4812080759677573,0.13855113482327908
Venus,planet,rv2_coarse,1,0.45,13677,549226,3558262313.0742617,3687979993.6808233,129717680.60656166,0.252152829624412,0.8009229367062465
Venus,planet,rv2_coarse,2,0.7,13840,562639,140014078.16972545,270264342.90934587,130250264.73962042,1.934127954992001,0.053097397600305296
Venus,planet,rv2_coarse,3,0.9,13930,562592,2779031.2165066404,11415273.280403381,8636242.063896742,2.5310960119110506,0.011370671884358474
Venus,planet,rv2_coarse,4,1.31,13918,563081,2368370.842672259,2825486.259631076,457115.4169588168,1.6978120000686434,0.08954325030431631
Venus,planet,rv2_coarse,5,2.2,14012,562002,2050786.8532775478,18682668.786668483,16631881.933390936,3.658564498488591,0.00025363191392302475
Venus,planet,rv2_coarse,6,3.93,13917,561098,1366971.7170653471,5537147.496799243,4170175.7797338953,1.9815369884465273,0.04753108559665997
Venus,planet,rv2_coarse,7,4.7,13645,552838,67658108.97638042,79183471.2458035,11525362.269423082,0.28980583799179743,0.771964781377712
Venus,planet,rv2_coarse,8,6.55,13443,552744,387740726.1005019,253493003.3742437,-134247722.7262582,-1.0848114641609863,0.27800516695097555
Venus,planet,rv2_coarse,9,9.18,12376,503172,359174078.76371765,246839378.5467412,-112334700.21697646,-0.95683454541306,0.3386507728305632
Mars,planet,rv2_coarse,1,0.45,17510,545393,1515694377.92745,3754468878.6026773,2238774500.675227,7.0075359912171775,2.425615264201042e-12
Mars,planet,rv2_coarse,2,0.7,17894,558585,88828787.86003754,272849346.3699758,184020558.50993827,2.2084673885093733,0.027211708705008553
Mars,planet,rv2_coarse,3,0.9,17770,558752,1929771.1161789533,11501634.531026531,9571863.414847577,2.8018371533565225,0.005081251556118271
Mars,planet,rv2_coarse,4,1.31,17809,559190,2090381.8378558594,2837520.3487137887,747138.5108579292,5.096254977870263,3.4643844815107627e-07
Mars,planet,rv2_coarse,5,2.2,17811,558203,1198776.8102541969,18823047.233830612,17624270.423576415,3.8553508283582723,0.00011556378105725962
Mars,planet,rv2_coarse,6,3.93,18002,557013,2800238.8111529276,5521409.0738763455,2721170.262723418,1.279488529263242,0.20072507642603332
Mars,planet,rv2_coarse,7,4.7,17681,548802,60851044.374063276,79487537.32310091,18636492.949037634,0.3046665836255277,0.7606201027414083
Mars,planet,rv2_coarse,8,6.55,17565,548622,197323583.25864956,258580856.21452266,61257272.9558731,0.8854444995917278,0.3759169408473091
Mars,planet,rv2_coarse,9,9.18,15999,499549,233847888.25687104,250038474.3372102,16190586.080339164,0.20664182623309169,0.8362895925817386
Jupiter,planet,rv2_coarse,1,0.45,315,562588,938118034.6446428,3686366126.693685,2748248092.049042,5.337476009880282,9.424936853186239e-08
Jupiter,planet,rv2_coarse,2,0.7,321,576158,6586226.012461059,267282482.05091387,260696256.0384528,12.602761190326254,0.0
Jupiter,planet,rv2_coarse,3,0.9,327,576195,1807610.875764526,11211937.350130185,9404326.474365659,2.834998496853507,0.004582590129034392
Jupiter,planet,rv2_coarse,4,1.31,324,576675,1576907.2455632717,2815155.323189103,1238248.0776258314,8.537758418572336,0.0
Jupiter,planet,rv2_coarse,5,2.2,322,575692,1101198.6585791926,18287692.486373484,17186493.82779429,3.8771923303844855,0.00010566882526474863
Jupiter,planet,rv2_coarse,6,3.93,304,574711,1460681.390625,5438320.276456706,3977638.885831706,1.9370870997332295,0.05273469726663138
Jupiter,planet,rv2_coarse,7,4.7,311,566172,329935.3930868167,78949019.31508973,78619083.92200291,8.547658936457186,0.0
Jupiter,planet,rv2_coarse,8,6.55,300,565887,9051025.455208333,256811730.84100795,247760705.38579962,14.457409158035203,0.0
Jupiter,planet,rv2_coarse,9,9.18,318,515230,222105900.73431358,249552961.79272786,27447061.05841428,0.12515085448993915,0.9004041236815081
Saturn,planet,rv2_coarse,1,0.45,84475,478428,3426085823.662054,3730513794.5760036,304427970.9139495,1.3073747142947396,0.19108548063948505
Saturn,planet,rv2_coarse,2,0.7,86225,490254,132347105.38973983,290843981.50715774,158496876.11741793,4.086064304326296,4.387522277093936e-05
Saturn,planet,rv2_coarse,3,0.9,86162,490360,6958592.158515355,11953028.61704184,4994436.458526485,1.2439873797874779,0.21350420772841305
Saturn,planet,rv2_coarse,4,1.31,86235,490764,4112610.9391836263,2586354.356894838,-1526256.5822887882,-2.0112244817376,0.044301750987528976
Saturn,planet,rv2_coarse,5,2.2,86278,489736,3626680.031099324,20859259.170471843,17232579.13937252,3.3064352818581937,0.0009449117549003017
Saturn,planet,rv2_coarse,6,3.93,86133,488882,1773766.608511419,6081481.2004830325,4307714.5919716135,1.7879823733293865,0.0737788516969875
Saturn,planet,rv2_coarse,7,4.7,84046,482437,36064670.49346717,86369278.22135592,50304607.72788875,3.0826345569131823,0.0020517694818675825
Saturn,planet,rv2_coarse,8,6.55,84494,481693,247114902.15070108,258358350.01907998,11243447.868378907,0.2750821939929762,0.7832530911983391
Saturn,planet,rv2_coarse,9,9.18,77693,437855,256480371.13276362,248303828.22277433,-8176542.909989297,-0.21378361328841447,0.8307158042441489
Uranus,planet,rv2_coarse,1,0.45,7923,554980,4078625315.234665,3679206287.2403626,-399419027.9943023,-0.541679429576724,0.5880393628952574
Uranus,planet,rv2_coarse,2,0.7,8085,568394,758431393.4895486,260149010.4675233,-498282383.0220252,-1.7961505493713743,0.0724705768906706
Uranus,planet,rv2_coarse,3,0.9,8063,568459,1594675.610830336,11342938.471841438,9748262.861011101,2.9030227854641,0.003695797468423967
Uranus,planet,rv2_coarse,4,1.31,8106,568893,1647505.1305977055,2831087.633982161,1183582.5033844556,8.21586317150981,2.220446049250313e-16
Uranus,planet,rv2_coarse,5,2.2,8148,567866,1099474.6958072532,18524571.51689298,17425096.82108573,3.8777655996642877,0.0001054202121058001
Uranus,planet,rv2_coarse,6,3.93,8137,566878,1619105.0335504485,5491008.424894704,3871903.391344255,1.8445609117070265,0.06510143748454134
Uranus,planet,rv2_coarse,7,4.7,8026,558457,87161967.82791571,78787202.63114865,-8374765.196767062,-0.09722376468387212,0.9225486959551166
Uranus,planet,rv2_coarse,8,6.55,8007,558180,354920033.0859214,255271221.70830747,-99648811.37761393,-0.6214124487269661,0.534328283365443
Uranus,planet,rv2_coarse,9,9.18,7373,508175,390281120.0571442,247493992.1930819,-142787127.86406234,-0.8475022538755993,0.39671523131999953
Neptune,planet,rv2_coarse,1,0.45,75214,487689,3066049184.7788444,3780259612.7476826,714210427.9688382,2.9201918577653267,0.0034981595207523863
Neptune,planet,rv2_coarse,2,0.7,77392,499087,285239613.5228192,264330247.6367495,-20909365.886069715,-0.34410066520428634,0.7307705826569713
Neptune,planet,rv2_coarse,3,0.9,77493,499029,4139600.6271582595,12304020.926267335,8164420.299109075,2.1010264642808334,0.03563864321015853
Neptune,planet,rv2_coarse,4,1.31,77564,499435,2653622.1143974653,2839438.702266588,185816.58786912262,1.0262434649866734,0.3047768383074061
Neptune,planet,rv2_coarse,5,2.2,77333,498681,21130204.461917132,17835792.314485513,-3294412.1474316195,-0.37958443322630553,0.7042539179412
Neptune,planet,rv2_coarse,6,3.93,77169,497846,2045617.6539510684,5961779.873309637,3916162.219358569,1.655949997428197,0.09773194532866003
Neptune,planet,rv2_coarse,7,4.7,76007,490476,86244090.35259186,77768682.25589179,-8475408.096700072,-0.3251014572749604,0.7451042860696424
Neptune,planet,rv2_coarse,8,6.55,75391,490796,294608665.4661234,250854312.871143,-43754352.59498039,-0.8467051955906275,0.3971594620484913
Neptune,planet,rv2_coarse,9,9.18,69119,446429,254067249.84377474,248834479.70214492,-5232770.141629815,-0.1197578284601226,0.9046749894540667
