event,freq_label,event_type,delta,sigma,z_score,u_stat,p_dir,p_two,p_flip,q_dir,q_flip,detected_dir,detected_flip
crab_nebula_egress,0.7,1.0,-338.661351368165,31.349509690883473,-10.802763893517886,-10.802763893517886,0.9603960396039604,0.04950495049504951,0.04950495049504951,1.0,0.44554455445544555,0,0
crab_nebula_egress,0.9,1.0,-755.5991524792754,33.218760646559495,-22.746157224788988,-22.746157224788988,0.9702970297029703,0.04950495049504951,0.039603960396039604,1.0,0.44554455445544555,0,0
crab_nebula_egress,1.31,1.0,-901.8587589320898,31.85343286557023,-28.312764992651445,-28.312764992651445,0.9900990099009901,0.019801980198019802,0.019801980198019802,1.0,0.44554455445544555,0,0
crab_nebula_egress,2.2,1.0,-182.5641503737395,13.324308346412618,-13.701585525292375,-13.701585525292375,0.9702970297029703,0.0891089108910891,0.039603960396039604,1.0,0.44554455445544555,0,0
crab_nebula_egress,3.93,1.0,-25.820190824840836,19.675981227061556,-1.31226953954036,-1.31226953954036,0.5544554455445545,0.7524752475247525,0.45544554455445546,0.9356435643564357,1.0,0,0
crab_nebula_egress,4.7,1.0,-36.704227048352166,13.83933774241616,-2.6521664353820524,-2.6521664353820524,0.7425742574257426,0.44554455445544555,0.26732673267326734,1.0,0.8491555037856727,0,0
crab_nebula_egress,6.55,1.0,21.269986318425794,21.64087120736749,0.9828618318833934,0.9828618318833934,0.33663366336633666,0.7128712871287128,1.0,0.6732673267326733,1.0,0,0
crab_nebula_egress,9.18,1.0,20.605103297251624,21.371723685099056,0.964129220499798,0.964129220499798,0.22772277227722773,0.693069306930693,1.0,0.5346534653465347,1.0,0,0
fornax_a_ingress,0.45,-1.0,-93.32492603719646,37.95184836229095,-2.459035068498122,2.459035068498122,0.09900990099009901,0.18811881188118812,1.0,0.4403028538147933,1.0,0,0
fornax_a_ingress,0.7,-1.0,-100.86249761915695,30.790528474649776,-3.275763769439628,3.275763769439628,0.22772277227722773,0.5247524752475248,1.0,0.5346534653465347,1.0,0,0
fornax_a_ingress,0.9,-1.0,-397.93220888980176,30.836400954020885,-12.904625591136432,12.904625591136432,0.12871287128712872,0.33663366336633666,1.0,0.4403028538147933,1.0,0,0
fornax_a_ingress,1.31,-1.0,-259.4707520606861,31.32172939785715,-8.284049350047624,8.284049350047624,0.1188118811881188,0.48514851485148514,1.0,0.4403028538147933,1.0,0,0
fornax_a_ingress,2.2,-1.0,276.7734942933585,25.043091367982115,11.051890129156206,-11.051890129156206,0.9207920792079208,0.1485148514851485,0.0891089108910891,1.0,0.5346534653465347,0,0
fornax_a_ingress,3.93,-1.0,164.29321786737094,18.572531807889664,8.8460323862565,-8.8460323862565,0.9306930693069307,0.13861386138613863,0.07920792079207921,1.0,0.5346534653465347,0,0
fornax_a_ingress,4.7,-1.0,85.60253089707724,16.474474929074542,5.196070361308079,-5.196070361308079,0.8712871287128713,0.18811881188118812,0.13861386138613863,1.0,0.6169078446306169,0,0
fornax_a_ingress,6.55,-1.0,-28.16243130012647,17.942175528574754,-1.5696218808736382,1.5696218808736382,0.24752475247524752,0.504950495049505,1.0,0.5346534653465347,1.0,0,0
fornax_a_ingress,9.18,-1.0,-57.57215565485504,18.871680797115992,-3.0507169061302335,3.0507169061302335,0.06930693069306931,0.15841584158415842,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,0.45,1.0,-47.27579269730283,34.450644171804406,-1.372276014972021,-1.372276014972021,0.7920792079207921,0.39603960396039606,0.21782178217821782,1.0,0.7351485148514851,0,0
fornax_a_egress,0.7,1.0,235.03231160042083,32.86549800230124,7.151338816894358,7.151338816894358,0.06930693069306931,0.16831683168316833,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,0.9,1.0,581.7103578906666,30.42264222459503,19.12096765284857,19.12096765284857,0.04950495049504951,0.1782178217821782,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,1.31,1.0,549.4335678134978,29.96833292687011,18.333804858423285,18.333804858423285,0.04950495049504951,0.1782178217821782,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,2.2,1.0,620.4966800139284,28.105302238533227,22.07756652989159,22.07756652989159,0.009900990099009901,0.019801980198019802,1.0,0.4403028538147933,1.0,0,0
fornax_a_egress,3.93,1.0,130.90647990355728,20.166004278921108,6.491443624277603,6.491443624277603,0.13861386138613863,0.27722772277227725,1.0,0.4403028538147933,1.0,0,0
