target,frequency_band,mean,std,obs_z,n_blocked,n_visible,perm_percentile,perm_reps
Neptune,7,1.0964994244661945,0.6519291494420207,1.4578104969618424,635,4097,0.3,10
Neptune,8,0.9441623896551207,0.03410972016984815,1.0247318999945134,623,3913,1.0,10
Neptune,9,1.0920113222083487,1.2340768989576676,0.6171499031829579,709,4401,0.6,10
Sag-A,1,2.3049843477885643,1.663065195243309,0.1301246872921219,786,4308,0.3,10
Sag-A,2,-0.10381947443085433,1.127113594381179,1.0383321759966515,720,3993,0.7,10
Sag-A,3,0.6553517810687179,0.21078684742737622,0.4753044091525388,686,4041,0.0,10
Sag-A,4,-0.4158570671419019,0.27020289405626585,-1.5390474405552224,731,3940,0.0,10
Sag-A,5,1.3916762117503292,0.42454147778632356,0.823919178256562,737,4120,0.0,10
Sag-A,6,3.7972345614774836,1.3057988731299597,4.059712594557774,665,3983,0.6,10
Sag-A,7,-0.5427922917536928,0.5791689956480295,-0.8915935487776895,682,4050,0.5,10
Sag-A,8,1.0261158258384722,0.002514595403871869,1.0245273375002049,681,3855,0.3,10
Sag-A,9,1.1820983025743999,0.9592568868749021,0.917269505090322,776,4334,0.6,10
Saturn,1,-0.9426955093037754,0.4758256492668737,-0.8651688124491143,776,4318,0.7,10
Saturn,2,0.839891888192897,0.6809549151685583,1.2596327507791942,715,3998,0.5,10
Saturn,3,0.8952891687783533,0.6577880721119655,0.9205281963285888,702,4025,0.1,10
Saturn,4,0.17382346797349432,1.182201228161691,0.6764542769840035,697,3974,0.5,10
Saturn,5,-1.1798842277460189,0.6529093138107736,-1.5661928304731316,755,4102,0.5,10
Saturn,6,0.7958409877233289,0.8846676861944802,1.7462788587084679,701,3947,0.9,10
Saturn,7,-0.10556901306967692,0.5655232165315264,-0.4508400611501082,721,4011,0.0,10
Saturn,8,0.9563960510352582,0.03334061502813424,1.023086595290589,677,3859,0.9,10
Saturn,9,-0.5003032369717435,1.1686802917608585,-0.04621382670757051,765,4345,0.6,10
Uranus,1,1.6407135088693354,2.321411909774343,3.8917498562681034,62,5032,0.6,10
Uranus,2,1.267065189628274,0.01530517666314452,1.290798064468494,75,4638,1.0,10
Uranus,3,0.2436408038266687,0.9108337464456433,1.18516396019072,59,4668,1.0,10
Uranus,4,-0.7045207777720414,0.8148487063300887,1.8925408869194518,64,4607,1.0,10
Uranus,5,-4.997048430574697,1.6453864174611181,6.955221314509864,58,4799,1.0,10
Uranus,6,5.664890195427061,3.63119849116226,3.5753886005932145,73,4575,0.3,10
Uranus,7,1.4349387744440152,0.020241910855214245,1.5196890662484392,67,4665,1.0,10
Uranus,8,1.0161925345388567,0.006752789287972174,1.0296282689516587,69,4467,0.9,10
Uranus,9,1.8064256817748965,1.427514568154858,2.543622988251458,81,5029,1.0,10
Venus,1,-0.8212964869985168,0.6021384139830976,3.1393926104962273,108,4986,1.0,10
Venus,2,0.8746001738293344,0.633186582363914,1.2877282846647717,132,4581,1.0,10
Venus,3,1.1455784759484033,0.020145220752944476,1.1312410511112403,102,4625,0.2,10
Venus,4,-0.7539070012689628,0.04405989955147152,2.01178355713921,121,4550,1.0,10
Venus,5,-0.5400029649933697,0.8046332997134346,-0.8460080170106449,113,4744,0.3,10
Venus,6,0.10222094745079083,0.7031445448953014,1.8444885407817393,108,4540,1.0,10
Venus,7,-0.02889232958328756,0.5386148048921965,1.558997041135118,107,4625,1.0,10
Venus,8,0.9625953969890582,0.030445511926352194,1.0346740720534877,118,4418,1.0,10
Venus,9,-0.1517979662176821,1.1685792253946872,2.5424335490038246,152,4958,1.0,10
